#{"t_start": 1744162617.752666, "env_id": "None"}
r,l,t
6577.272017,400,2.520834
6971.919993,400,3.291159
7894.649524,400,4.047322
3711.157096,400,4.752711
5098.090661,400,5.483414
5425.229942,400,49.93232
8597.364828,400,50.909089
2525.551622,400,51.765675
2523.238497,400,52.553399
6901.569212,400,53.416807
9583.617593,400,97.627658
4876.182342,400,98.401844
6985.315445,400,99.344328
6699.851869,400,100.620046
3129.273162,400,101.621371
10755.153123,400,144.755136
6380.838204,400,145.676482
8476.471087,400,146.534302
6347.033246,400,147.381484
5604.391515,400,148.237526
5753.558542,400,192.695757
3525.221129,400,193.776851
4853.748465,400,194.872126
8228.315223,400,195.853785
6718.240655,400,197.167248
4314.804266,400,242.371766
7629.219343,400,243.476043
5751.877104,400,244.368547
6163.222732,400,245.34012
8135.223823,400,246.288959
